Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 80540,Body,Lotion and Cream,Olive Nourishing Body Lotion,Olive,13,4.38,1,['6.75 FL OZ'],['$9.75'],"Our Olive Nourishing Body Lotion helps protect skin from dryness, providing 72-hour moisture for instantly softer-feeling skin. Enriched with Community Trade organic cold-pressed olive oil from Cilento, Italy, its rich and creamy texture feels intensely nourishing on dry skin. This Mediterranean inspired moisturizer helps you enjoy softer skin that looks healthier and feels replenished with moisture.
","['100% vegetarian', '72 hour intense moisture ', 'Rich, creamy texture that melts into the skin', 'Non greasy and non-sticky', 'Green, Mediterranean scent', 'Enriched with Community Trade organic cold-pressed  Olive Oil from Cilento, Italy', 'Instantly softer-feeling skin and long-lasting comfort*', 'Replenishes skin with moisture*', 'Soothes sensation of tightness**User trial on 100 men and women with dry to very dry skin.']"
ITEM 44259,Body,Lotion and Cream,British Rose Instant Glow Body Lotion,Rose Extract,20,4.35,1,['8.4 FL OZ'],['$9.75'],"Glow from top to toe with our first essence lotion for the body. With a super lightweight texture and up to 24 hours of dewy moisture, this fast-absorbing body lotion transforms dull skin with an instant healthy looking glow. Leaving your skin feeling smooth and perfectly petal-soft.
","['Body lotion with a ultra-light texture', '24H moisture', 'Transforms on skin revealing an instant healthy looking glow', 'Makes skin feel petal-soft', 'With the essence of hand-picked British roses']"
ITEM 96058,Body,Lotion and Cream,Fuji Green Tea™ Body Lotion,Green Tea,9,4.11,1,['8.4 FL OZ'],['$9.75'],"Hydrate your skin, while purifying body and soul, with the crisp and refreshing scent of lightweight Fuji Green Tea™ Body Lotion.","['Body Lotion', ' Lightweight hydration', 'Infused with the power of antioxidant green tea from Japan', 'For healthy looking skin', 'Enriched with Community Trade Sesame Seed Oil from Nicaragua', ' Enriched with community trade  Brazil Nut from Peru']"
ITEM 96105,Body,Lotion and Cream,English Dawn Gardenia Body Lotion,Babassu,5,5,1,['8.4 FL OZ'],['$10.50'],The English Dawn Gardenia Body Lotion leaves your skin feeling silky-soft and scented with a sumptuous blend of enticing tuberose and hundreds of English white gardenias blooming in the first light of dawn.,"['100% vegetarian ', 'Blooming, fresh, floral scent', 'Extract of hand-picked Gardenia blooms from England', 'Rich moisture, light texture', ' Layer with other  English Dawn Gardenia products  to build the fragrance']"
ITEM 96950,Body,Lotion and Cream,Black Musk Body Lotion,Babassu,4,5,1,['8.4 FL OZ'],['$11.25'],"The Black Musk Body Lotion leaves your skin feeling silky-soft and scented with a blend of our deepest, darkest, most sensual musk. The sweet notes of bambinella pear, pink pepper and bergamot are contrasted with the fierce black musk. Layer with other Black Musk products to build the fragrance.","['A subtle, deep blend of musk and spices', 'Cruelty-free musk']"
ITEM 61410,Body,Lotion and Cream,Amazonian Saviour™ Multi-Purpose Balm,Beeswax,31,4.61,1,['1.6 Ounce'],['$7.50'],"Packed with powerful natural origin oils and waxes, Amazonian Saviour™ Multi-Purpose Balm helps to revive the appearance of tattoos, intensely nourishes severely dry skin and helps to improve the appearance of skin marks with a nourishing, 100% natural-origin formula. Inspired by the Amazonian communities that have relied on natural oils to care for their skin for centuries, Amazonian Saviour™ Multi-Purpose Balm is made with just nine natural-origin ingredients.","['Nourishing multi-purpose balm', 'Helps revive the appearance of healed tattoos', 'Helps improve the appearance of skin marks for more even-looking skin texture', 'Intensely nourishes dry skin', '100% vegetarian', 'Enriched with Community Trade organic babassu oil & organic andiroba oil from Brazil']"
ITEM 94301,Body,Lotion and Cream,English Dawn Gardenia Body Cream,NA,18,4.83,1,['6.7 Ounce'],['$12.00'],This rich moisturizer leaves your skin feeling silky-soft and scented with a sumptuous blend of enticing tuberose and hundreds of English white gardenias blooming in the first light of dawn. ,"['100% vegetarian', '   Body cream', 'Fresh, floral scent', 'Extract of hand-picked Gardenia blooms from England', 'Rich moisture, luxurious texture', 'The Voyage collection', ' Enriched with community trade  Cocoa from Ghana', ' Enriched with community trade  Sesame from Nicaragua', ' Layer with other  English Dawn Gardenia products  to build the fragrance']"
ITEM 15287,Body,Body Yogurt,Almond Milk Body Yogurt,Almond,279,4.69,1,['6.98 Ounce'],['$11.25'],"Life’s too short for waiting - jump straight into your jeans with our Almond Milk Body Yogurt. The new, lightweight formula absorbs instantly and provides up to 48 hours of moisture. Apply to damp skin straight after showering for skin that feels smoother and never sticky, with the sweet and nutty scent of almonds. The gel-cream is enriched with Community Trade organic almond milk from Spain.","['NEW lightweight, fast-absorbing gel-cream formula  ', ' 48hr moisture ', ' Enriched with Community Trade Organic Almond Milk from Spain ', ' 87% agree the formula absorbs instantly* ', ' 86% like that the formula works on damp skin* ', ' 3 in 4 agree they can put their jeans on straight after application* ', ' 95% agree skin feels moisturized* ', ' 81% agree skin appears radiant*', 'Try with our Almond Milk & Honey Shower Cream and our Almond Milk & Honey Body Scrub', '*User trial on 104 women & men.']"
ITEM 19402,Body,body butter,Shea Body Butter,Shea,864,4.77,3,"['1.69 Ounce', '6.75 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']",This super-rich and creamy natural Body Butter is a feast for the skin. It melts straight in to leave skin feeling soft and smooth. It contains Community Trade shea butter and is one of our best body moisturizers with its delicious nutty scent.,"['Body Butter for dry to very dry skin ', ' 72 hour ultra-rich moisture ', ' Replenishes skin with moisture and protects skin from dryness ', ' Indulgently rich butter texture that sinks into the skin ', ' Non greasy and non-sticky formula ', ' Warm, nutty & aromatic scent ', ' Enriched with Community Trade hand-crafted  Shea Butter from Tamale, Ghana']"
ITEM 94166,Body,body butter,Almond Milk & Honey Body Butter,Honey,222,4.76,2,"['1.7 Ounce', '6.9 Ounce']","['$4.50', '$12.00']","This heavenly, rich body butter has been specially formulated to soothe, restore and protect dry, sensitive skin. With 48 hours of intense moisture, help calm tight, itchy dry skin. Enriched with organic almond milk from Spain and Community Trade honey from Ethiopia, Almond Milk & Honey is specially formulated for sensitive, dry skin. ","['Soothing and restoring Body Butter ', 'Intensely moisturises for 48 hours ', 'Suitable for sensitive, dry skin ', 'Made with organic almond milk Enriched with Community Trade honey  and organic almond oil ', 'Hypoallergenic fragrance ', 'Dermatologically tested ', 'Enriched with community trade Almond Milk from Spain']"
